arm,level,max_identity_below,n_eligible_queries,R@1,R@1_ci95,R@10,R@10_ci95,MAP,MAP_ci95
protsent_late@1250,superfamily,1.01,2020,0.8767,"[0.8624, 0.8911]",0.9584,"[0.9495, 0.9668]",0.6684,"[0.6553, 0.6815]"
protsent_late@1500,superfamily,0.4,215,0.8698,"[0.8233, 0.9116]",0.9581,"[0.9302, 0.9814]",0.7034,"[0.6631, 0.7429]"
protsent_late@1500,superfamily,0.5,369,0.8726,"[0.8374, 0.9052]",0.9512,"[0.9295, 0.9729]",0.6948,"[0.6642, 0.7244]"
protsent_late@1500,superfamily,0.7,601,0.8785,"[0.8502, 0.9052]",0.9551,"[0.9384, 0.9717]",0.6837,"[0.6596, 0.7075]"
protsent_late@1500,superfamily,1.01,2020,0.8782,"[0.8634, 0.8921]",0.9584,"[0.9495, 0.9668]",0.6719,"[0.6588, 0.6850]"
protsent_late@1750,superfamily,0.4,215,0.8791,"[0.8326, 0.9209]",0.9628,"[0.9349, 0.9860]",0.7058,"[0.6656, 0.7454]"
protsent_late@1750,superfamily,0.5,369,0.8808,"[0.8482, 0.9133]",0.9539,"[0.9322, 0.9729]",0.6965,"[0.6663, 0.7259]"
protsent_late@1750,superfamily,0.7,601,0.8819,"[0.8552, 0.9085]",0.9567,"[0.9401, 0.9717]",0.6845,"[0.6603, 0.7082]"
protsent_late@1750,superfamily,1.01,2020,0.8792,"[0.8649, 0.8931]",0.9589,"[0.9500, 0.9673]",0.6721,"[0.6589, 0.6850]"
protsent_late@2000,superfamily,0.4,215,0.8744,"[0.8279, 0.9163]",0.9628,"[0.9349, 0.9860]",0.7049,"[0.6646, 0.7444]"
